Ticket ID,Customer ID,Customer Name,Email Address,Phone Number,Support Issue Category,Issue Description,Ticket Priority,Ticket Status,Support Representative,Resolution Description,Resolution Date,Ticket Created Date,Ticket Closed Date,Customer Satisfaction Rating,Follow-up Status,Customer Location,Product ID (Linked to Issue),Communication Channel,Escalation Level,Resolution Time,Assigned Team
BAQBRLR3,H36I9SQ3,Customer_BVR8H,L5DEX@example.com,+1-5446638820,Feedback,Issue description for order 13WS5E72NX,Medium,In Progress,Representative_ET32S,Resolution for order 13WS5E72NX,2023-12-15,2023-12-10,2023-12-30,1,Pending,Location_61YO1,KT2UE0R5,Chat,Level 2,7,Team_E6W
9O914N0W,KATDRV75,Customer_C42TT,BT955@example.com,+1-3632173537,Complaint,Issue description for order 45LCNI3DC7,Low,In Progress,Representative_E229J,Resolution for order 45LCNI3DC7,2023-12-15,2023-12-01,2023-12-30,1,Pending,Location_OYE4T,852ERH49,Phone,Level 2,1,Team_VQF
ZJ5G19PT,BB2LRGDG,Customer_SGHHO,9PSBJ@example.com,+1-4910456388,Complaint,Issue description for order BUDZ0XXX8L,Low,Open,Representative_P6HE5,Resolution for order BUDZ0XXX8L,2023-12-15,2023-12-10,2023-12-30,5,Completed,Location_JOIC9,NZPCVQCS,Email,Level 1,2,Team_FC0
0NTE4RK5,WEM67LPB,Customer_SA3S2,M66C0@example.com,+1-2602205113,Refund,Issue description for order THT7UTC5Z8,Low,Open,Representative_5IIEU,Resolution for order THT7UTC5Z8,2023-12-15,2023-12-20,2023-12-10,1,Completed,Location_29ODR,A4936RGC,Phone,Level 2,7,Team_ZIY
SAUPMZIH,47BE8FX7,Customer_3LWMU,XBS9N@example.com,+1-6065192978,Feedback,Issue description for order ZD1BCN75CW,Medium,Closed,Representative_PUZQ1,Resolution for order ZD1BCN75CW,2023-12-20,2023-12-10,2023-12-30,3,Completed,Location_I7BG4,TO9994OW,Chat,Level 3,8,Team_FV3
2ACJKUKE,3QHGI8LZ,Customer_44REU,KSP4J@example.com,+1-4804390381,Refund,Issue description for order LDIR7UTRTA,Medium,Open,Representative_7CO3B,Resolution for order LDIR7UTRTA,2023-12-10,2023-12-20,2023-12-30,2,Pending,Location_HIW89,2EMCXYN5,Phone,Level 2,4,Team_IL3
KCWO9X2A,9KPJ3I6R,Customer_8KAVD,4Z7B0@example.com,+1-3268718910,Feedback,Issue description for order WPHZ519CCG,Low,Closed,Representative_LBQH7,Resolution for order WPHZ519CCG,2023-12-15,2023-12-20,2023-12-30,4,Completed,Location_HJE6M,H0XAMDOI,Email,Level 1,4,Team_0ON
EQQGKYYC,ZFLK3DBU,Customer_5P0U9,BOZ3Q@example.com,+1-9806920155,Refund,Issue description for order 5NEMYCV3QV,Medium,Closed,Representative_LHNHO,Resolution for order 5NEMYCV3QV,2023-12-20,2023-12-01,2023-12-30,2,Completed,Location_4SELP,Q6VD9QR2,Chat,Level 2,2,Team_HE6
O7K34KQM,EGON4VNC,Customer_J3LDK,2QIBJ@example.com,+1-1401692138,Refund,Issue description for order S4G6YOSPCE,Medium,In Progress,Representative_K7GXI,Resolution for order S4G6YOSPCE,2023-12-10,2023-12-10,2023-12-10,5,Completed,Location_HDC98,AMQJD0RO,Chat,Level 1,8,Team_PQF
X0A2H0IE,4S0W1U74,Customer_GAIRN,4PX7W@example.com,+1-6550252368,Feedback,Issue description for order 5VLX0M83SZ,Low,Closed,Representative_QA09M,Resolution for order 5VLX0M83SZ,2023-12-10,2023-12-10,2023-12-10,3,Completed,Location_QGN7I,45W3LF68,Email,Level 2,2,Team_PKA
2KZI70XS,P43NUTJJ,Customer_2A290,V041N@example.com,+1-2136340163,Inquiry,Issue description for order 9IPDRE49XI,Medium,In Progress,Representative_5HVMY,Resolution for order 9IPDRE49XI,2023-12-20,2023-12-10,2023-12-25,1,Completed,Location_16G7G,L2HANV07,Email,Level 1,7,Team_6M4
F6E3AS3Y,UXPEEHHL,Customer_P7UFI,K5FXY@example.com,+1-3947467342,Complaint,Issue description for order X8CYC9U7TV,Low,In Progress,Representative_G5T19,Resolution for order X8CYC9U7TV,2023-12-15,2023-12-10,2023-12-30,1,Completed,Location_XQ0TA,BHZYVP52,Phone,Level 2,7,Team_W8E
AH3IUPWK,1OYYTA1R,Customer_XM0WS,FX72F@example.com,+1-4703789733,Feedback,Issue description for order L3DK8AAHKA,Low,Open,Representative_02RTK,Resolution for order L3DK8AAHKA,2023-12-15,2023-12-10,2023-12-30,2,Pending,Location_YKYXN,AK7TA9NF,Chat,Level 2,8,Team_3Z0
