Order ID,Order Date,Customer Name,Order Status,Delivery Date,Shipment Mode,Order Value,Product Description,Project Code,Tracking ID,Customer Email,Shipping Address,Payment Status,Order Total,Tracking URL,Order Priority,Customer Rating,Product ID,Shipping Cost,Return Status,Discount Applied,Payment Method,Coupon Code,Billing Address,Gift Option,Estimated Delivery Date,Shipping Carrier,Tracking Status
13WS5E72NX,2023-12-15,Customer_V9FQH,Delivered,2023-12-10,Sea,99.57,Product_THXZ4,ZCWQW,C61IZCM5,Q1DC2@example.com,"YGQF7ZCOW4 Street, City, Country",Paid,682.13,www.example.com/GNGJA,Low,4,Q2Y0I7SK,20.61,Not Returned,Yes,Credit Card,CODE9428,"JR7LJ8JDL8 Street, City, Country",Yes,2023-12-20,FedEx,Out for Delivery
45LCNI3DC7,2023-12-15,Customer_NDGBL,Shipped,2023-12-15,Land,328.28,Product_CI4WY,USK87,QSFG5I6N,TC2I9@example.com,"SB5SCLOK23 Street, City, Country",Paid,616.16,www.example.com/S196N,Medium,3,VUK3LWB6,47.65,Returned,No,Bank Transfer,CODE5158,"IVIX8RTY3J Street, City, Country",Yes,2023-12-20,UPS,Out for Delivery
BUDZ0XXX8L,2023-12-15,Customer_PV46K,Shipped,2023-12-10,Air,423.5,Product_FCH9P,9IYD3,6Q7PEPLE,M533G@example.com,"GLL4KQTGBO Street, City, Country",Unpaid,117.01,www.example.com/BIZ4V,High,4,HL9L4M2W,35.34,Not Returned,Yes,Credit Card,CODE5287,"75ZJKPJSPY Street, City, Country",Yes,2023-12-20,DHL,Out for Delivery
THT7UTC5Z8,2023-12-01,Customer_O8SIR,Processing,2023-12-20,Air,489.1,Product_URZML,2PD39,VN0DDD0H,C0YQA@example.com,"KEQTFN0E5Y Street, City, Country",Unpaid,553.93,www.example.com/XMQ9F,Medium,1,GB1E92YS,38.1,Returned,No,Bank Transfer,CODE5030,"MNUOOCJ7P6 Street, City, Country",No,2023-12-10,UPS,Delivered
ZD1BCN75CW,2023-12-15,Customer_LMZX3,Delivered,2023-12-15,Sea,324.78,Product_TLBI8,7QKQ7,KSPLZI4G,7099U@example.com,"J55S7FKQYU Street, City, Country",Unpaid,388.16,www.example.com/N05R9,Low,5,3KITLO9N,43.56,Returned,Yes,Bank Transfer,CODE3324,"5BU60AF2JQ Street, City, Country",Yes,2023-12-15,UPS,Out for Delivery
LDIR7UTRTA,2023-12-10,Customer_2TMPR,Delivered,2023-12-15,Land,237.83,Product_HJHN8,IDX3R,GA4BH3XR,U9XOO@example.com,"X1N5ZXL9ZW Street, City, Country",Unpaid,288.0,www.example.com/FHDUN,Low,1,13DNT67U,41.13,Returned,Yes,PayPal,CODE1404,"7H6D8O2ZHM Street, City, Country",Yes,2023-12-15,UPS,Out for Delivery
WPHZ519CCG,2023-12-10,Customer_B14AD,Delivered,2023-12-15,Sea,469.95,Product_62XFY,MVB5I,LTLFTW8Z,EDMPG@example.com,"JWHQ44M82S Street, City, Country",Unpaid,658.72,www.example.com/1SZ4T,Low,2,5WSJLD0G,32.31,Returned,No,PayPal,CODE8752,"7QEY3WYEHO Street, City, Country",No,2023-12-10,DHL,In Transit
5NEMYCV3QV,2023-12-15,Customer_W02E9,Processing,2023-12-10,Land,71.97,Product_W39ZS,QPKTX,DCQYPPFC,V2QUX@example.com,"FRY36KVW78 Street, City, Country",Paid,809.29,www.example.com/SBRQI,High,2,PFFECL5D,40.41,Returned,No,Bank Transfer,CODE5076,"Y8ESARB29F Street, City, Country",Yes,2023-12-20,UPS,Out for Delivery
S4G6YOSPCE,2023-12-10,Customer_FY5CA,Delivered,2023-12-15,Air,11.0,Product_M6M9F,RZTC6,KGQ6J1M0,VE7G9@example.com,"ZTGLAVIXA5 Street, City, Country",Unpaid,658.25,www.example.com/JBRJQ,High,3,SPWE7P8Q,7.56,Returned,No,Bank Transfer,CODE3788,"7B5XTNWYPH Street, City, Country",No,2023-12-10,FedEx,Out for Delivery
5VLX0M83SZ,2023-12-01,Customer_Y0NTB,Shipped,2023-12-20,Sea,445.79,Product_ZHQJ9,T1TPL,7BG40UDQ,C5BGA@example.com,"SY1GIUGNC5 Street, City, Country",Unpaid,336.22,www.example.com/UVV7H,Medium,4,ALTZ3NI2,28.81,Not Returned,Yes,Credit Card,CODE7812,"IUCVMQS2RK Street, City, Country",No,2023-12-20,FedEx,Out for Delivery
