Order ID,Tracking ID,Shipment Mode,Shipping Address,Customer Email,Delivery Date,Order Value,Product Description,Shipment Status,Order Total,Tracking URL,Product ID,Return Status,Estimated Delivery Date,Delivery Time Window,Shipping Carrier,Customs Clearance Status,Tracking Events,Shipment Cost
13WS5E72NX,2Y6L1CJ4,Air,"IQKQ9T4RKX Street, City, Country",2QZXH@example.com,2023-12-20,482.91,Product_6OQ3I,In Transit,874.99,www.example.com/IUBGY,J4SEZIJ0,Not Returned,2023-12-15,12:00 - 15:00,DHL,Cleared,Event_ONEJ8,19.94
45LCNI3DC7,G53FS0D3,Land,"DVYG6WJC2X Street, City, Country",YGH68@example.com,2023-12-15,412.62,Product_6T7L6,In Transit,545.93,www.example.com/ACMCE,GIHT24OW,Returned,2023-12-20,9:00 - 14:00,FedEx,Pending,Event_L5SOA,16.39
BUDZ0XXX8L,D3F7H6GY,Land,"73O95PTSA5 Street, City, Country",VFYAY@example.com,2023-12-20,226.35,Product_9VORO,In Transit,202.2,www.example.com/XJMBZ,YNDYB9PU,Not Returned,2023-12-15,10:00 - 17:00,UPS,Cleared,Event_780FK,11.72
THT7UTC5Z8,5H0A9UEI,Air,"USFJ55JZBO Street, City, Country",IDCKR@example.com,2023-12-10,483.29,Product_91CTH,Shipped,954.22,www.example.com/THMUJ,IJ18KOJ5,Returned,2023-12-20,11:00 - 14:00,FedEx,Pending,Event_H1CIX,18.82
ZD1BCN75CW,RP1W52GB,Land,"8SXYOMQV52 Street, City, Country",QIYLA@example.com,2023-12-15,201.96,Product_BH46L,Delivered,333.27,www.example.com/ZWFK8,SIQ58THN,Returned,2023-12-15,9:00 - 15:00,DHL,Cleared,Event_X9KIB,26.56
LDIR7UTRTA,K7Q5QNA6,Land,"0CDBB2WNNK Street, City, Country",WRLLT@example.com,2023-12-10,403.66,Product_41MUH,In Transit,109.45,www.example.com/H4F5S,8V93YFOV,Not Returned,2023-12-10,12:00 - 14:00,FedEx,Pending,Event_89773,13.5
WPHZ519CCG,SEQINUA4,Sea,"V78NT1X5H7 Street, City, Country",ME3Q4@example.com,2023-12-20,123.38,Product_OROLQ,In Transit,821.93,www.example.com/AFFZW,OARVRQP9,Returned,2023-12-20,9:00 - 13:00,UPS,Cleared,Event_WT8IC,18.09
5NEMYCV3QV,84AO8K6W,Land,"U52Q3WLX81 Street, City, Country",A3QKI@example.com,2023-12-20,259.67,Product_FADHU,Delivered,947.36,www.example.com/KN38J,DZF03P7O,Not Returned,2023-12-15,10:00 - 17:00,FedEx,Pending,Event_RZVY4,22.76
S4G6YOSPCE,DQWSE9W4,Land,"UN85MJYNK3 Street, City, Country",4UUGU@example.com,2023-12-10,393.17,Product_THTP8,Delivered,806.85,www.example.com/OA455,55BVN4M1,Not Returned,2023-12-15,9:00 - 16:00,DHL,Cleared,Event_UZO04,33.93
5VLX0M83SZ,9Z1EWSD3,Air,"121QHH2B9P Street, City, Country",8X9BX@example.com,2023-12-10,60.05,Product_TQUHI,Delivered,275.0,www.example.com/KDL7V,URHEDBGE,Not Returned,2023-12-15,8:00 - 13:00,FedEx,Pending,Event_56G5U,17.65
9IPDRE49XI,3K82NN66,Sea,"9JVQW7RYRQ Street, City, Country",JEPQT@example.com,2023-12-20,396.9,Product_5Z9FS,In Transit,907.45,www.example.com/YCNPK,BVEUA2FM,Not Returned,2023-12-20,9:00 - 15:00,FedEx,Cleared,Event_IMKLY,35.17
X8CYC9U7TV,P2RQB7NW,Sea,"PMB65M7M38 Street, City, Country",R01SB@example.com,2023-12-10,439.14,Product_DPTLG,Delivered,994.64,www.example.com/ZIN1F,GGHMF5E0,Returned,2023-12-20,9:00 - 17:00,FedEx,Pending,Event_XQOWS,34.78
L3DK8AAHKA,V409CFOJ,Sea,"LDVPLWP1R5 Street, City, Country",J0Z85@example.com,2023-12-15,228.22,Product_1LYGK,In Transit,429.87,www.example.com/PV0S6,UFH2ARSR,Returned,2023-12-15,9:00 - 17:00,DHL,Pending,Event_MHGR7,30.21
4H1QITNMFS,8YDD7KAN,Air,"L7FGXO760H Street, City, Country",NNJLW@example.com,2023-12-15,183.71,Product_8CQRN,Shipped,167.03,www.example.com/8A37Y,GGH7S7KZ,Returned,2023-12-10,10:00 - 17:00,FedEx,Cleared,Event_5PW9L,37.87
2JYPIRHGYD,BNDLD4O2,Land,"6UCJE4BRH5 Street, City, Country",7736S@example.com,2023-12-15,196.85,Product_BHROO,Shipped,491.18,www.example.com/HYNH9,RDVV8SQC,Not Returned,2023-12-15,12:00 - 16:00,DHL,Pending,Event_FMTFA,43.37
