Order ID,Order Date,Customer Name,Order Status,Delivery Date,Shipment Mode,Order Value,Product Description,Project Code,Tracking ID,Shipping Address,Payment Status,Order Total,Order Priority,Customer Rating,Product ID,Shipping Cost,Payment Method,Billing Address,Estimated Delivery Date,Tracking Status
YHBIHYEFN7,2023-12-10,Customer_G8X8O,Shipped,2023-12-15,Sea,450.32,Product_SAFFH,UDJUS,Y7XZAR9H,"RRFEU4PKXK Street, City, Country",Paid,368.53,High,2,6PW1SEVK,39.21,Credit Card,"5O4OF8YZAE Street, City, Country",2023-12-15,Delivered
04237O6421,2023-12-15,Customer_RFOBD,Delivered,2023-12-10,Sea,223.61,Product_0UR6R,9BYWP,DORCECAS,"9N0AXLLVYP Street, City, Country",Unpaid,762.06,Low,2,O06W56I0,40.43,PayPal,"GESZYIV599 Street, City, Country",2023-12-10,Delivered
5YLQHZ4GU4,2023-12-15,Customer_6D4Z7,Shipped,2023-12-20,Sea,419.27,Product_Y45EH,JBNZT,KBKJ011A,"P01ZZ5SJAP Street, City, Country",Paid,760.52,Low,2,P5EIXFZE,44.77,PayPal,"4PTUE5O2RL Street, City, Country",2023-12-20,In Transit
MQ5XL7WIMS,2023-12-10,Customer_AYCBL,Delivered,2023-12-15,Sea,123.24,Product_ARLOR,A3GZ6,53AR07FN,"FTJSSA4TPW Street, City, Country",Paid,927.14,Medium,2,DM2ILTC3,17.48,Credit Card,"CAGLPVKHTP Street, City, Country",2023-12-10,In Transit
FPXW4QJIFP,2023-12-10,Customer_7JIZN,Processing,2023-12-10,Sea,193.97,Product_P1YX5,CE176,KY20OYJA,"4N57WVL5YJ Street, City, Country",Paid,482.73,Medium,3,R81DC7QR,22.7,Credit Card,"KASVG7T2RB Street, City, Country",2023-12-15,Out for Delivery
D48DAJB6TY,2023-12-15,Customer_D48A5,Shipped,2023-12-15,Sea,409.12,Product_S95B2,Y8H5O,Z9XGSHNS,"4T9UGB5RBP Street, City, Country",Unpaid,648.8,Medium,1,6XJ62TFM,12.8,PayPal,"N1YEBAK5HQ Street, City, Country",2023-12-10,Delivered
VKXQY1QLQU,2023-12-01,Customer_SKE0G,Delivered,2023-12-10,Sea,406.06,Product_JOQF2,WPCG4,B0EHJSJE,"2D9W07C6GZ Street, City, Country",Unpaid,936.52,Low,2,9NTY3VC3,13.49,Credit Card,"ZGNITDT4UT Street, City, Country",2023-12-20,In Transit
7T9NOA99J9,2023-12-15,Customer_5A78C,Processing,2023-12-10,Air,31.7,Product_VA4C2,2PWI5,SRMHUZ0P,"ZB11PX7FBY Street, City, Country",Unpaid,854.4,Medium,4,DVE9WJ1D,19.33,Bank Transfer,"9SSJ8DFONH Street, City, Country",2023-12-15,In Transit
VLVF1BEJNJ,2023-12-01,Customer_LLVSS,Processing,2023-12-20,Land,457.17,Product_7K5NB,TGOT5,6H9Z4BZC,"IPV0N0SGAL Street, City, Country",Unpaid,953.91,Medium,2,1SGNEAZM,36.22,Credit Card,"25Q2Q8KYCB Street, City, Country",2023-12-10,Delivered
IAM3QPFN6Q,2023-12-10,Customer_GKWTI,Processing,2023-12-15,Sea,51.17,Product_IDP5Q,Q7W6Z,RJY3M3NI,"CJI3DZW2D1 Street, City, Country",Unpaid,929.66,Low,2,6IU9YOST,5.91,PayPal,"HXS06RWHXH Street, City, Country",2023-12-20,Out for Delivery
GN10TTG224,2023-12-10,Customer_WGMXY,Shipped,2023-12-15,Land,387.1,Product_Y7UL7,RF6FR,VSCXWQEX,"WN2JPF2K53 Street, City, Country",Unpaid,584.78,Medium,4,LHMQNZ06,31.86,Bank Transfer,"MLWDYACDY2 Street, City, Country",2023-12-15,Delivered
EIYXTCJH2J,2023-12-10,Customer_3RQJZ,Shipped,2023-12-20,Sea,81.19,Product_FWDYV,CRHFA,ERTL0LKF,"UUIQOHQE10 Street, City, Country",Paid,312.26,High,3,GGE6VKEE,10.95,Bank Transfer,"WRTRDB91ZV Street, City, Country",2023-12-10,Out for Delivery
VX5EWY6Y1U,2023-12-01,Customer_SJHOW,Delivered,2023-12-10,Sea,463.08,Product_RIG1R,WXND7,LADNY61X,"7ZRYW9F6QF Street, City, Country",Unpaid,368.27,High,5,UQCOR7Y5,46.52,Credit Card,"ZG2F4AALW8 Street, City, Country",2023-12-10,In Transit
ASEX4Y3S5E,2023-12-15,Customer_TEW7T,Processing,2023-12-10,Sea,494.39,Product_2K7M6,IYI90,EXNH0TKH,"EXAZYXPFVB Street, City, Country",Unpaid,663.14,High,4,C6WYM7KG,45.48,Bank Transfer,"2N8O3IXZM7 Street, City, Country",2023-12-10,Delivered
5CAXWVNS4C,2023-12-01,Customer_81510,Shipped,2023-12-15,Air,339.99,Product_LNKN8,FTA5N,VP2PUVT5,"XI52IL1XP3 Street, City, Country",Unpaid,351.13,Low,2,6402QQYX,19.8,Bank Transfer,"6NYLWQ2TWH Street, City, Country",2023-12-10,In Transit
MOPVMQQIN7,2023-12-15,Customer_OSZBJ,Processing,2023-12-10,Sea,424.53,Product_PMPIV,9LFQ9,4VTAJ72O,"ZS4430ZAE8 Street, City, Country",Paid,112.64,High,4,5N8E6C0S,21.63,Bank Transfer,"PBZYX4IDT9 Street, City, Country",2023-12-20,In Transit
